name,death_cause,date,agency_name,state,state_name
Patrolman Victor Robert Lee,Gunfire,1947-06-01,Lawton Police Department,OK,Oklahoma
"Officer Michael J. Dowd, Jr.",Gunfire,1947-06-24,Somerville Police Department,MA,Massachusetts
Assistant Chief of Police Menzo C. Grady,Heart attack,1947-07-04,Muscatine Police Department,IA,Iowa
Officer Marshall R. Foster,Struck by vehicle,1947-07-04,Indianapolis Police Department,IN,Indiana
Constable Rufus Ola Crum,Gunfire,1947-07-05,Tippah County Sheriff's Department,MS,Mississippi
Deputy Sheriff Harley Beecher Nelson,Gunfire,1947-07-06,Knox County Sheriff's Office,TN,Tennessee
Sergeant Arthur McKenna,Gunfire,1947-07-10,Union City Police Department,NJ,New Jersey
Officer Julio Herrera,Gunfire,1947-07-19,Lubbock Police Department,TX,Texas
Chief of Police Ed Payne,Gunfire,1947-07-22,Garnett Police Department,KS,Kansas
Deputy Constable Walter V. Sebesta,Other,1947-07-27,Burleson County Constable's Office - Precinct 2,TX,Texas
"Patrolman Leslie J. Oster, Sr.",Motorcycle accident,1947-07-31,New Orleans Police Department,LA,Louisiana
Patrolman William Panczyk,Automobile accident,1947-07-31,New York City Police Department,NY,New York
Sheriff Julius Jewell Pierce,Gunfire,1947-08-03,Crosby County Sheriff's Office,TX,Texas
Patrolman Thomas Albino,Gunfire,1947-08-05,Lyndhurst Police Department,NJ,New Jersey
"Lieutenant William J. ""Jack"" Lavery",Other,1947-08-05,Pittsburgh Police Department,PA,Pennsylvania
Conservation Officer John C. Martin,Gunfire,1947-08-07,Kentucky Department of Fish and Wildlife Resources,KY,Kentucky
Policeman Harry Maldonado-Freytes,Gunfire,1947-08-09,Puerto Rico Police Department,PR,Puerto Rico
Chief of Police William Arman Tyler,Vehicle pursuit,1947-08-11,Edinboro Borough Police Department,PA,Pennsylvania
Detective Dewey L. Littleton,Gunfire (Accidental),1947-08-13,Chicago Police Department,IL,Illinois
Constable Coleman McAteer,Gunfire,1947-08-14,Lancaster County Magistrate's Office,SC,South Carolina
Patrolman Thomas Gargan,Gunfire,1947-08-17,New York City Police Department,NY,New York
Officer Fred W. Higginbotham,Motorcycle accident,1947-08-18,Jacksonville Police Department,FL,Florida
Sheriff Estill Adkins,Gunfire,1947-08-24,Elliott County Sheriff's Department,KY,Kentucky
Patrolman Merrill Henderson Ogle,Gunfire,1947-08-24,Shreveport Police Department,LA,Louisiana
Patrolman John D. Cusson,Gunfire,1947-08-26,Peoria Police Department,IL,Illinois
Policeman Leo Clinton Shonrock,Vehicular assault,1947-08-30,Hardin Police Department,MT,Montana
Police Officer John Jarmacz,Other,1947-08-30,Syracuse Police Department,NY,New York
Trooper George Louis Fredrickson,Other,1947-09-01,Illinois State Police,IL,Illinois
Town Marshal Lee Phillips,Assault,1947-09-01,Fulton Police Department,MS,Mississippi
Police Officer J. D. Livingston,Motorcycle accident,1947-09-02,Newberry Police Department,SC,South Carolina
"Constable William R. ""Bill"" Coop",Gunfire,1947-09-07,Clinton County Constable's Office,KY,Kentucky
Deputy Sheriff Jake Guns,Automobile accident,1947-09-20,Yakima County Sheriff's Office,WA,Washington
Police Officer Harris Ralph McCullough,Vehicular assault,1947-09-29,San Bernardino Police Department,CA,California
Police Officer Frank Andrew Rogers,Vehicular assault,1947-09-29,San Bernardino Police Department,CA,California
Patrolman Charles A. Brereton,Other,1947-09-30,New York City Police Department,NY,New York
Wildlife Officer Earl Sharp,Other,1947-10-01,Florida Game and Fresh Water Fish Commission,FL,Florida
Patrolman Benjamin Harrison Manson,Other,1947-10-05,Braddock Borough Police Department,PA,Pennsylvania
Deputy Sheriff Charley Ross,Gunfire,1947-10-06,Washington County Sheriff's Office,OH,Ohio
Policeman Frederick S. Wales,Motorcycle accident,1947-10-07,Los Angeles Police Department,CA,California
Policeman Sergio V. Rodriguez-Detres,Gunfire,1947-10-07,Puerto Rico Police Department,PR,Puerto Rico
Conservation Officer Thomas J. Mellon,Other,1947-10-23,Michigan Department of Natural Resources,MI,Michigan
Trooper Leroy C. Bender,Vehicular assault,1947-10-25,Florida Highway Patrol,FL,Florida
Police Officer William T. Rumble,Automobile accident,1947-10-29,Seattle Police Department,WA,Washington
Patrolman Peter Hugh Carroll,Automobile accident,1947-10-31,Eureka Police Department,CA,California
"Chief Deputy Lenoir F. ""Lee"" Baker",Automobile accident,1947-11-05,Craighead County Sheriff's Department,AR,Arkansas
Detective Sergeant Allen A. Glass,Gunfire,1947-11-08,Reno Police Department,NV,Nevada
Detective Captain LeRoy Joseph Geach,Gunfire,1947-11-08,Reno Police Department,NV,Nevada
Deputy Constable Robert F. Talley,Gunfire,1947-11-10,Bowie County Constable's Office - Precinct 6,TX,Texas
Officer John R. Walters,Vehicle pursuit,1947-11-18,California Highway Patrol,CA,California
Sheriff Douglas Grant Manning,Gunfire,1947-11-23,McCreary County Sheriff's Office,KY,Kentucky
Police Officer John J. DeRoo,Automobile accident,1947-12-04,Islip Police Department,NY,New York
"Policeman John Naccarato, Jr.",Gunfire,1947-12-05,Los Angeles Police Department,CA,California
Policeman Shellie Eugene LeQuire,Gunfire,1947-12-13,Fleming-Neon Police Department,KY,Kentucky
Patrolman J. Albert Fisher,Other,1947-12-15,Burlington Police Department,VT,Vermont
Special Agent Harry Lloyd Ashley,Gunfire,1947-12-19,"Atchison, Topeka and Santa Fe Railroad Police Department",RR,
Deputy Sheriff David Galloway,Gunfire,1947-12-20,Letcher County Sheriff's Department,KY,Kentucky
Deputy Sheriff Willard Hall,Gunfire,1947-12-20,Letcher County Sheriff's Department,KY,Kentucky
Police Officer Henry Joseph Mach,Gunfire,1947-12-21,Detroit Police Department,MI,Michigan
Patrolman James Haskel Owens,Assault,1947-12-23,Kansas City Police Department,MO,Missouri
Officer James J. Goodson,Gunfire,1947-12-25,St. Petersburg Police Department,FL,Florida
"Patrolman Henry Grady Martin, Jr.",Gunfire,1947-12-27,Florence Police Department,SC,South Carolina
Policeman Benjamin J. Carroll,Other,1947-12-29,Wildwood Police Department,FL,Florida
Patrolman Thomas B. Whatley,Gunfire,1947-12-29,North Carolina Highway Patrol,NC,North Carolina
Conservation Officer Bud Stewart,Gunfire,1948-01-01,"Mississippi Department of Wildlife, Fisheries and Parks",MS,Mississippi
Officer William Lawrence Bowman,Motorcycle accident,1948-01-04,San Francisco Police Department,CA,California
Trooper Leroy H. Spickerman,Automobile accident,1948-01-17,Oregon State Police,OR,Oregon
Patrolman William J. Von Weisenstein,Automobile accident,1948-01-21,New York City Police Department,NY,New York
Deputy George W. Egenhoff,Struck by vehicle,1948-01-22,Merced County Sheriff's Department,CA,California
Deputy Sheriff Sylvester Castillo Villa,Gunfire,1948-01-25,Yuma County Sheriff's Department,AZ,Arizona
Sergeant George Chandler,Automobile accident,1948-01-31,Nevada State Police,NV,Nevada
Policeman Clyde Rogers,Assault,1948-02-03,White Lake Police Department,SD,South Dakota
Deputy Sheriff Walter Akers,Gunfire,1948-02-04,Yuma County Sheriff's Department,AZ,Arizona
Patrolman Fred Shaumeyer,Other,1948-02-12,Kansas City Police Department,KS,Kansas
Police Officer Joseph Daniel Benedict,Gunfire,1948-02-13,Baltimore City Police Department,MD,Maryland
Patrolman Norman C. Reker,Gunfire,1948-02-21,Cleveland Heights Police Department,OH,Ohio
Patrolman James P. Gardner,Automobile accident,1948-02-28,Ohio State Highway Patrol,OH,Ohio
Chief of Police Charles Brantley Taylor,Vehicle pursuit,1948-03-01,Sparta Police Department,NC,North Carolina
Patrolman Weaver H. Hogan,Vehicle pursuit,1948-03-02,North Carolina Highway Patrol,NC,North Carolina
Special Agent Garland E. Fields,Gunfire,1948-03-03,Georgia Bureau of Investigation,GA,Georgia
Police Officer Marion H. Key,Gunfire,1948-03-04,Atlanta Police Department,GA,Georgia
"Police Officer Valentine Adam, Jr.",Struck by vehicle,1948-03-06,Milwaukee Police Department,WI,Wisconsin
Patrolman Julius Mirell,Gunfire,1948-03-09,New York City Police Department,NY,New York
Patrolman Joseph Chmelynski,Gunfire,1948-03-09,Bethel Park Police Department,PA,Pennsylvania
Deputy Sheriff Clarence A. Anderson,Motorcycle accident,1948-03-10,Miller County Sheriff's Department,AR,Arkansas
Officer Bennie Frank Elrod,Gunfire,1948-03-11,Galveston Police Department,TX,Texas
Marshal Hickey Steelman,Gunfire,1948-03-14,Bearden Police Department,AR,Arkansas
Patrolman John J. Casey,Heart attack,1948-03-18,New York City Police Department,NY,New York
Patrolman Leon s Gooding,Gunfire,1948-03-27,Charleston County Police Department,SC,South Carolina
Patrolman Francis P. Konen,Gunfire,1948-03-27,Kelso Police Department,WA,Washington
Acting Chief of Police Charles Newell Overman,Gunfire,1948-03-30,Wymore Police Department,NE,Nebraska
Patrolman Floyd E. Lawson,Automobile accident,1948-04-07,Texas Department of Public Safety - Texas Highway Patrol,TX,Texas
Deputy Sheriff Hiram James Moore,Struck by vehicle,1948-04-08,Chenango County Sheriff's Office,NY,New York
Officer Oscar Roberts,Gunfire,1948-04-10,Fayette County Police Department,KY,Kentucky
Deputy Sheriff Dewey Rickles,Gunfire,1948-04-14,Jefferson County Sheriff's Office,AL,Alabama
Chief Kendrick Lloyd,Automobile accident,1948-04-17,Joplin Police Department,MO,Missouri
Guard Walter W. Zimmer,Other,1948-04-19,Ohio Department of Rehabilitation and Correction,OH,Ohio
Guard Samuel P. Chesshir,Other,1948-04-19,Ohio Department of Rehabilitation and Correction,OH,Ohio
Chief of Police Rufus Barrow,Gunfire,1948-04-29,Adairville Police Department,KY,Kentucky
Sergeant Robert John Fulton,Struck by vehicle,1948-04-29,Superior Police Department,WI,Wisconsin
"Deputy Sheriff Hugh James Gallagher, Sr.",Heart attack,1948-04-30,Storey County Sheriff's Office,NV,Nevada
Patrolman Boyd Gaunt,Automobile accident,1948-05-02,Longview Police Department,TX,Texas
Patrolman Bura Clora Roberts,Automobile accident,1948-05-02,Longview Police Department,TX,Texas
Patrolman Charles E. Galloway,Other,1948-05-03,North Carolina Highway Patrol,NC,North Carolina
Patrolman J. R. Davis,Other,1948-05-03,North Carolina Highway Patrol,NC,North Carolina
Sheriff Mac Wesley Hancock,Automobile accident,1948-05-03,Cochran County Sheriff's Department,TX,Texas
Chief of Police R. E. Sparks,Gunfire,1948-05-07,Oxford Police Department,AL,Alabama
Patrolman Andrew Miller,Gunfire,1948-05-08,Louisville Police Department,KY,Kentucky
Deputy Sheriff Mayner Cleve Lambert,Gunfire,1948-05-08,Dickenson County Sheriff's Office,VA,Virginia
Deputy Sheriff James Oren Freeman,Gunfire,1948-05-23,Saline County Sheriff's Department,MO,Missouri
Patrolman Paul Winefred Smith,Other,1948-05-27,North Carolina Highway Patrol,NC,North Carolina
Patrolman Charles Meyer,Motorcycle accident,1948-05-28,New York City Police Department,NY,New York
Deputy Sheriff DeWitt Clinton Willbern,Other,1948-05-29,Kinney County Sheriff's Office,TX,Texas
Night Marshal Lan Smith,Struck by vehicle,1948-05-30,Eagle Lake Police Department,TX,Texas
Deputy Sheriff Montgomery Givens Christian,Vehicular assault,1948-06-02,Union County Sheriff's Office,KY,Kentucky
Detective John Reifel,Gunfire,1948-06-05,Galveston Police Department,TX,Texas
Detective Walter L. O'Cain,Gunfire,1948-06-11,Macon Police Department,GA,Georgia
Police Officer Raymond Michael Hacker,Struck by vehicle,1948-06-11,St. Louis Metropolitan Police Department,MO,Missouri
Private Charles F. Caldwell,Gunfire,1948-06-12,Prince George's County Police Department,MD,Maryland
Patrolman John C. Johnsen,Heart attack,1948-06-12,Tenino Police Department,WA,Washington
"Police Officer Wallace B. ""Chappie"" Chapman",Gunfire,1948-06-13,Philadelphia Police Department,PA,Pennsylvania
Trooper Robert Elvin Caldwell,Automobile accident,1948-06-17,Virginia State Police,VA,Virginia
Assistant Chief of Police Lloyd M. Parton,Gunfire,1948-06-19,Bessemer City Police Department,NC,North Carolina
Patrolman John W. Hughes,Motorcycle accident,1948-06-19,Cincinnati Police Department,OH,Ohio
Night Policeman Sye Denton Bohannon,Gunfire (Accidental),1948-06-23,Monterey Police Department,TN,Tennessee
City Marshal Tom Greene,Gunfire,1948-06-25,Rector Police Department,AR,Arkansas
"Deputy Sheriff John Herbert ""Bert"" McCabe",Automobile accident,1948-06-26,Pasco County Sheriff's Office,FL,Florida
Patrolman Floyd N. Montgomery,Gunfire,1948-06-28,Kansas City Police Department,MO,Missouri
Jailer Frank Burkett,Assault,1948-06-29,Walker County Sheriff's Office,AL,Alabama
Deputy Sheriff L. D. Weaver,Gunfire,1948-06-29,Phillips County Sheriff's Department,AR,Arkansas
Patrolman Harold Stevens,Automobile accident,1948-07-03,Toledo Police Department,OH,Ohio
Trooper Robert V. Conklin,Vehicle pursuit,1948-07-04,New York State Police,NY,New York
Police Officer Edward James Fabick,Vehicular assault,1948-07-06,St. Louis Metropolitan Police Department,MO,Missouri
"Deputy Sheriff Theron Eldridge ""Eddie"" Shofner",Gunfire,1948-07-14,Harris County Sheriff's Office,TX,Texas
Assistant Chief Clyde Gulley,Gunfire,1948-07-18,Middlesboro Police Department,KY,Kentucky
Lieutenant Frank A. Starkel,Other,1948-07-19,Connecticut State Police,CT,Connecticut
Patrolman Francis Castor,Motorcycle accident,1948-07-28,Noblesville Police Department,IN,Indiana
Deputy Sheriff Edward Smith,Gunfire,1948-08-03,Pinal County Sheriff's Office,AZ,Arizona
Correctional Officer W. H. Aston,Assault,1948-08-04,Oklahoma Department of Corrections,OK,Oklahoma
Sergeant Michael J. Hunt,Assault,1948-08-04,Philadelphia Police Department,PA,Pennsylvania
Constable Thomas Caslin,Gunfire,1948-08-07,Pennsylvania State Constable - Westmoreland County,PA,Pennsylvania
Sheriff Sidney Francis Edge,Heart attack,1948-08-07,Kendall County Sheriff's Department,TX,Texas
Deputy Sheriff John D. Anderson,Other,1948-08-09,Pima County Sheriff's Department,AZ,Arizona
Inspector Frank J. Mascari,Gunfire (Accidental),1948-08-11,Mount Vernon Police Department,NY,New York
Officer Rubert W. Franks,Motorcycle accident,1948-08-12,El Centro Police Department,CA,California
Guard W. R. Brannon,Gunfire,1948-08-20,Florida State Road Department - State Convict Road Force,FL,Florida
Town Marshal Hilton Hirem Morgan,Gunfire,1948-08-20,Kentwood Police Department,LA,Louisiana
Police Officer Elmer A. Bates,Struck by vehicle,1948-08-23,Milwaukee Police Department,WI,Wisconsin
Deputy Sheriff William P. Colbert,Automobile accident,1948-08-25,St. Louis County Sheriff's Office,MO,Missouri
Sergeant John A. Barringer,Automobile accident,1948-08-26,Detroit Police Department,MI,Michigan
Patrolman Warren H. Binegar,Struck by vehicle,1948-08-29,Grinnell Police Department,IA,Iowa
Officer William Edward Stafford,Struck by vehicle,1948-09-05,Dallas Police Department,TX,Texas
Detective Nicholas G. Jacob,Gunfire,1948-09-06,New Orleans Police Department,LA,Louisiana
Patrolman John L. Meyers,Struck by vehicle,1948-09-06,Hawthorne Police Department,NJ,New Jersey
Private Robert B. Harris,Gunfire,1948-09-11,Alexandria Police Department,VA,Virginia
Chief of Police Elmer Jessie Baumgardner,Gunfire,1948-09-14,Evarts Police Department,KY,Kentucky
Officer Mortimer P. Donoghue,Automobile accident,1948-09-16,Metropolitan Police Department,DC,District of Columbia
Deputy Claude W. Kimball,Gunfire,1948-09-17,Penobscot County Sheriff's Department,ME,Maine
Officer Richard Scholz,Automobile accident,1948-09-18,San Francisco Police Department,CA,California
Patrolman Charles H. Perrine,Gunfire,1948-09-20,Kansas City Police Department,MO,Missouri
Patrolman Charles William Neaves,Gunfire,1948-09-20,Kansas City Police Department,MO,Missouri
Patrolman Sandy William Washington,Gunfire,1948-09-20,Kansas City Police Department,MO,Missouri
Sergeant Earl A. Burtch,Other,1948-09-22,Oregon State Police,OR,Oregon
"Police Officer Frampton Pope Wichman, Jr.",Other,1948-09-24,Miami Police Department,FL,Florida
Police Officer Hendrick P. Groeneveld,Gunfire (Accidental),1948-09-24,Detroit Police Department,MI,Michigan
Trooper Algin Sidney Pavatt,Gunfire,1948-09-26,Arkansas State Police,AR,Arkansas
Policeman Longino Camacho-Rosario,Gunfire,1948-09-26,Puerto Rico Police Department,PR,Puerto Rico
Sergeant William S. Wells,Gunfire,1948-09-27,Kansas City Police Department,MO,Missouri
Trooper Charles Kopf,Automobile accident,1948-09-27,New Jersey State Police,NJ,New Jersey
Patrolman William Jefferson Smith,Gunfire,1948-09-29,Charleston Police Department,WV,West Virginia
Marshal George Prentice Southwood,Gunfire,1948-09-30,Burnside Police Department,KY,Kentucky
Police Officer Thomas J. Burns,Motorcycle accident,1948-10-01,Baltimore City Police Department,MD,Maryland
Officer Robert J. Baker,Vehicular assault,1948-10-02,Indianapolis Police Department,IN,Indiana
"Police Officer John Chabala, Jr.",Motorcycle accident,1948-10-03,Westchester County Parkway Police Department,NY,New York
"Chief of Police Andrew T. Malloy, Sr.",Other,1948-10-11,Lancaster Police Department,NH,New Hampshire
Trooper Harold B. Johnson,Other,1948-10-11,New Hampshire State Police,NH,New Hampshire
Sergeant Walter Lee Tucker,Motorcycle accident,1948-10-14,Austin Police Department,TX,Texas
Captain Arthur Stager,Other,1948-10-28,California Department of Fish and Wildlife,CA,California
Chief of Police Charles F. Elliott,Gunfire,1948-10-31,Louellen Police Department,KY,Kentucky
"Wildlife Officer William I. Wright, Jr.",Gunfire,1948-10-31,North Carolina Wildlife Resources Commission,NC,North Carolina
Deputy Sheriff William Warfield Roberts,Automobile accident,1948-11-01,Comanche County Sheriff's Department,TX,Texas
Game Warden Richard Moore Wynne,Automobile accident,1948-11-01,"Texas Game, Fish, and Oyster Commission",TX,Texas
Patrolman George Joseph Biggs,Vehicular assault,1948-11-03,Fremont Police Department,OH,Ohio
Policeman Enrique M. Ruiz-Reyes,Gunfire,1948-11-03,Puerto Rico Police Department,PR,Puerto Rico
Deputy Joseph J. Wachowiak,Assault,1948-11-04,Erie County Sheriff's Office,NY,New York
Detective Ellery B. Purnsley,Gunfire,1948-11-06,Chester Police Department,PA,Pennsylvania
"Patrolman James Edward ""Red"" English",Gunfire,1948-11-11,Gastonia Police Department,NC,North Carolina
Trooper Harold J. Toll,Automobile accident,1948-11-14,Kentucky State Police,KY,Kentucky
Deputy Sheriff Earl Anson Torrence,Assault,1948-11-15,Essex County Sheriff's Department,NY,New York
Patrolman Albert Fadell,Motorcycle accident,1948-11-15,Toledo Police Department,OH,Ohio
Police Officer Francis X. Carver,Vehicle pursuit,1948-11-18,Beverly Hills Police Department,CA,California
Police Officer Claude Lynch,Gunfire,1948-11-28,Tulsa Police Department,OK,Oklahoma
Night Policeman Jesse Starks,Gunfire,1948-11-30,Benton Police Department,KY,Kentucky
Patrolman Lewis William Hall,Motorcycle accident,1948-11-30,Cincinnati Police Department,OH,Ohio
Corporal Grady A. Beacham,Gunfire,1948-12-02,Metropolitan Police Department,DC,District of Columbia
Deputy Keeper Joseph Peto,Assault,1948-12-02,New Jersey Department of Corrections,NJ,New Jersey
Patrolman Bennett T. Spradley,Gunfire,1948-12-02,Nacogdoches Police Department,TX,Texas
Policeman Delmar E. Cook,Gunfire,1948-12-06,Los Angeles Police Department,CA,California
Sheriff Guy Mercer,Automobile accident,1948-12-11,Texas County Sheriff's Office,OK,Oklahoma
Matron Kassie Mae Chandler,Assault,1948-12-15,Dallas County Sheriff's Department,TX,Texas
Sheriff John Elbert Nelson,Gunfire,1948-12-21,George County Sheriff's Office,MS,Mississippi
Officer Charles Willis Wright,Vehicle pursuit,1948-12-22,DeKalb County Police Department,GA,Georgia
Patrolman Welford Early Green,Gunfire,1948-12-22,Henrico County Police Department,VA,Virginia
Patrolman Vincent L. Gerek,Gunfire,1948-12-24,Barberton Police Department,OH,Ohio
Patrolman Curtis Rucker Mason,Vehicle pursuit,1948-12-24,Colonial Heights Police Department,VA,Virginia
Detective Howard W. Murray,Automobile accident,1948-12-27,Beaver County District Attorney's Office,PA,Pennsylvania
Police Officer John W. Arnold,Gunfire,1948-12-30,Baltimore City Police Department,MD,Maryland
Patrolman Charles R. Johns,Gunfire (Accidental),1949-01-02,New Orleans Police Department,LA,Louisiana
Deputy Sheriff William Thomas Nye,Heart attack,1949-01-05,Robeson County Sheriff's Office,NC,North Carolina
Captain Saturnino Rosa-Velez,Gunfire,1949-01-08,Puerto Rico Police Department,PR,Puerto Rico
Patrolman Jerry LeBloch,Gunfire,1949-01-09,Stickney Police Department,IL,Illinois
Constable Arthur Rheinhold Blomstrom,Gunfire,1949-01-09,Coles County Sheriff's Department,IL,Illinois
Police Officer Edward Howard,Heart attack,1949-01-10,Troy Police Department,NY,New York
Sheriff Vernon Reaves,Automobile accident,1949-01-17,Lavaca County Sheriff's Office,TX,Texas
Sergeant Clarence W. Bracy,Struck by vehicle,1949-01-20,Detroit Police Department,MI,Michigan
Patrolman Robert Delaine Edmunds,Motorcycle accident,1949-01-23,Kansas City Police Department,MO,Missouri
Police Officer Norman Stinger,Struck by vehicle,1949-01-25,Philadelphia Police Department,PA,Pennsylvania
Night Marshal Jose Maria Gonzales,Other,1949-02-13,Guadalupe County Sheriff's Department,NM,New Mexico
Policeman John Yelenosky,Gunfire,1949-02-15,Lynch Police Department,KY,Kentucky
Police Officer David I. Bergum,Gunfire,1949-02-17,Detroit Police Department,MI,Michigan
Patrolman William T. Speight,Other,1949-02-24,New Mexico State Police,NM,New Mexico
Lieutenant William J. Taylor,Gunfire,1949-02-26,Mansfield Police Department,OH,Ohio
Trooper Roy Kyle Moody,Other,1949-02-28,Illinois State Police,IL,Illinois
Deputy Sheriff Oscar Briones,Gunfire,1949-02-28,Duval County Sheriff's Office,TX,Texas
Police Officer Floyd N. Bristol,Heart attack,1949-03-03,Stockton Police Department,CA,California
Police Officer Henry Howard Scarborough,Gunfire,1949-03-07,Myrtle Beach Police Department,SC,South Carolina
Patrolman Robert Carl May,Gunfire,1949-03-14,Bogalusa Police Department,LA,Louisiana
Detective William J. O'Brien,Gunfire,1949-03-16,St. Louis Metropolitan Police Department,MO,Missouri
Patrolman John L. MacKechnie,Assault,1949-03-18,Port Jervis Police Department,NY,New York
Police Officer Vincent P. Foley,Heart attack,1949-03-20,Philadelphia Police Department,PA,Pennsylvania
Deputy Sheriff Grover Dewey Kennedy,Gunfire,1949-03-24,McCreary County Sheriff's Office,KY,Kentucky
"Wildlife Agent Grover Cleveland Quinn, Jr.",Automobile accident,1949-03-25,North Carolina Wildlife Resources Commission,NC,North Carolina
Patrolman Anthony Oetheimer,Gunfire,1949-03-26,New York City Police Department,NY,New York
Patrolman Chester W. Korfhage,Automobile accident,1949-04-03,Jefferson County Police Department,KY,Kentucky
Police Officer James L. Joyce,Automobile accident,1949-04-04,Baltimore City Police Department,MD,Maryland
Police Officer Alvin Nelson,Gunfire,1949-04-08,Leadville Police Department,CO,Colorado
Police Officer James S. Peters,Gunfire,1949-04-14,Tulsa Police Department,OK,Oklahoma
Chief Ambrose Metcalfe,Gunfire,1949-04-17,Harlan County Police Department,KY,Kentucky
Patrolman Louis W. Dickson,Automobile accident,1949-04-17,Texas Department of Public Safety - Texas Highway Patrol,TX,Texas
Sheriff Levi M. Parnell,Gunfire,1949-04-17,Whitman County Sheriff's Department,WA,Washington
Deputy Sheriff Gilbert W. Gallagher,Gunfire,1949-04-17,Whitman County Sheriff's Department,WA,Washington
Police Officer Elbert R. Claar,Gunfire,1949-04-17,Pullman Police Department,WA,Washington
Patrolman Bill J. Mahoney,Automobile accident,1949-04-18,Texas Department of Public Safety - Texas Highway Patrol,TX,Texas
Police Officer Boss Johnson,Gunfire,1949-04-20,Welch Police Department,WV,West Virginia
Deputy Sheriff Travis Milton French,Gunfire,1949-04-20,McDowell County Sheriff's Department,WV,West Virginia
Undersheriff Milton L. Davis,Gunfire,1949-04-24,Dickinson County Sheriff's Office,KS,Kansas
Sheriff Elmer F. Davis,Gunfire,1949-04-24,Dickinson County Sheriff's Office,KS,Kansas
Sheriff Walter Albert Salzsiedler,Heart attack,1949-04-25,Campbell County Sheriff's Office,SD,South Dakota
Patrolman Robert Eley Mack,Heart attack,1949-04-26,Forty Fort Borough Police Department,PA,Pennsylvania
Patrolman Robert H. Good,Motorcycle accident,1949-05-11,Buffalo Police Department,NY,New York
"Detective Sergeant J. W. ""Tommy"" Milton",Gunfire,1949-05-16,Los Angeles Police Department,CA,California
Chief Deputy Sheriff Max Daniels,Vehicular assault,1949-05-16,Avery County Sheriff's Office,NC,North Carolina
Patrolman Harold Emmerson Klinkefus,Automobile accident,1949-05-18,Iowa State Patrol,IA,Iowa
"Patrolman Fred A. Babcock, Jr.",Gunfire,1949-06-04,Richfield Department of Public Safety,MN,Minnesota
Police Officer John Leonard Shaw,Gunfire,1949-06-11,Breckenridge Police Department,TX,Texas
Patrolman William J. Hickey,Motorcycle accident,1949-06-17,Schenectady Police Department,NY,New York
Corporal Arthur M. Hurst,Other,1949-06-17,West Virginia State Police,WV,West Virginia
Sheriff Gerald Lee Uptegraft,Gunfire,1949-06-22,Blackford County Sheriff's Office,IN,Indiana
Police Officer Thomas J. Mathews,Gunfire,1949-06-29,Abington Township Police Department,PA,Pennsylvania
Police Officer Norman C. Philbrick,Struck by vehicle,1949-07-07,Auburn Police Department,ME,Maine
Special Agent George Richard Kebort,Gunfire,1949-07-08,Southern Pacific Railroad Police Department,RR,
Patrolman Morris D. Lopez,Gunfire,1949-07-09,Tampa Police Department,FL,Florida
Patrolman Marlin L. Evans,Gunfire,1949-07-17,Long Beach Police Department,CA,California
Guard Julius R. Cummins,Automobile accident,1949-07-21,Kentucky Department of Corrections,KY,Kentucky
Deputy Claude M. Parsons,Vehicle pursuit,1949-07-21,Georgetown County Sheriff's Office,SC,South Carolina
Detective Harry W. Vosper,Gunfire,1949-07-21,Seattle Police Department,WA,Washington
Police Officer Joseph Seawell Gunnell,Automobile accident,1949-07-22,West Columbia Police Department,SC,South Carolina
Deputy Sheriff Leland E. Roper,Gunfire,1949-07-22,Fayette County Sheriff's Department,TN,Tennessee
Sheriff Everett Montgomery Gibson,Gunfire,1949-07-25,Wayne County Sheriff's Department,KY,Kentucky
Game Warden Frank A. Floyd,Gunfire,1949-07-25,South Carolina Department of Natural Resources,SC,South Carolina
Police Officer Charlie Joseph Drawdy,Automobile accident,1949-07-27,Jesup Police Department,GA,Georgia
Correctional Officer Harold Bruette,Other,1949-07-27,New York State Department of Correctional Services,NY,New York
Motorcycle Officer Walton O. Whatley,Motorcycle accident,1949-07-28,Fort Worth Police Department,TX,Texas
Sheriff William Holmes,Other,1949-08-07,Fallon County Sheriff's Department,MT,Montana
Patrolman George Connelly,Heart attack,1949-08-11,New York City Police Department,NY,New York
Officer Robert Terry Mackie,Gunfire,1949-08-14,Los Banos Police Department,CA,California
Patrolman John H. Tennyson,Gunfire,1949-08-14,Louisville Police Department,KY,Kentucky
Patrolman Chester Leo Shack,Gunfire (Accidental),1949-08-15,Clarksburg Police Department,WV,West Virginia
Patrolman R. W. Jackson,Vehicle pursuit,1949-09-03,North Carolina Highway Patrol,NC,North Carolina
Constable Charles W. Adams,Gunfire,1949-09-05,McCurtain County Sheriff's Office,OK,Oklahoma
Constable Paul John Kisselbach,Gunfire,1949-09-10,St. Clair County Sheriff's Department,IL,Illinois
Detective Allan G. Lee,Gunfire,1949-09-10,St. Paul Police Department,MN,Minnesota
Policeman Encarnacion Perez-Aulet,Struck by vehicle,1949-09-10,Puerto Rico Police Department,PR,Puerto Rico
Patrolman Harold Bechtelheimer,Gunfire,1949-09-14,Colorado State Patrol,CO,Colorado
"Constable William Graham ""Scotty"" Mason",Gunfire,1949-09-16,St. Clair County Sheriff's Department,IL,Illinois
Patrolman David F. Keating,Gunfire,1949-09-20,Chicago Police Department,IL,Illinois
Police Officer Richard E. Leyden,Motorcycle accident,1949-09-26,Lincoln Police Department,NE,Nebraska
